loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status
1,22,59000,Rent,50.0,Personal,D,35000,16.02,1,0.59,Y,3,Default,Previous Default
2,21,9600,Own,5.0,Education,B,1000,11.14,0,0.1,N,2,Non-Default,No Previous Default
3,25,9600,Mortgage,1.0,Medical,C,5500,12.87,1,0.57,N,3,Default,No Previous Default
4,23,65500,Rent,4.0,Medical,C,35000,15.23,1,0.53,N,2,Default,No Previous Default
5,24,54400,Rent,8.0,Medical,C,35000,14.27,1,0.55,Y,4,Default,Previous Default
6,21,9900,Own,2.0,Venture,A,2500,7.14,1,0.25,N,2,Default,No Previous Default
7,26,77100,Rent,8.0,Education,B,35000,12.42,1,0.45,N,3,Default,No Previous Default
8,24,78956,Rent,5.0,Medical,B,35000,11.11,1,0.44,N,4,Default,No Previous Default
9,24,83000,Rent,8.0,Personal,A,35000,8.9,1,0.42,N,2,Default,No Previous Default
10,21,10000,Own,6.0,Venture,D,1600,14.74,1,0.16,N,3,Default,No Previous Default
11,22,85000,Rent,6.0,Venture,B,35000,10.37,1,0.41,N,4,Default,No Previous Default
12,21,10000,Own,2.0,Homeimprovement,A,4500,8.63,1,0.45,N,2,Default,No Previous Default
13,23,95000,Rent,2.0,Venture,A,35000,7.9,1,0.37,N,2,Default,No Previous Default
14,26,108160,Rent,4.0,Education,E,35000,18.39,1,0.32,N,4,Default,No Previous Default
15,23,115000,Rent,2.0,Education,A,35000,7.9,0,0.3,N,4,Non-Default,No Previous Default
16,23,500000,Mortgage,7.0,Debtconsolidation,B,30000,10.65,0,0.06,N,3,Non-Default,No Previous Default
17,23,120000,Rent,0.0,Education,A,35000,7.9,0,0.29,N,4,Non-Default,No Previous Default
18,23,92111,Rent,7.0,Medical,F,35000,20.25,1,0.32,N,4,Default,No Previous Default
19,23,113000,Rent,8.0,Debtconsolidation,D,35000,18.25,1,0.31,N,4,Default,No Previous Default
20,24,10800,Mortgage,8.0,Education,B,1750,10.99,1,0.16,N,2,Default,No Previous Default
21,25,162500,Rent,2.0,Venture,A,35000,7.49,0,0.22,N,4,Non-Default,No Previous Default
22,25,137000,Rent,9.0,Personal,E,34800,16.77,0,0.25,Y,2,Non-Default,Previous Default
23,22,65000,Rent,4.0,Education,D,34000,17.58,1,0.52,N,4,Default,No Previous Default
24,24,10980,Own,0.0,Personal,A,1500,7.29,0,0.14,N,3,Non-Default,No Previous Default
25,22,80000,Rent,3.0,Personal,D,33950,14.54,1,0.42,Y,4,Default,Previous Default
26,24,67746,Rent,8.0,Homeimprovement,C,33000,12.68,1,0.49,N,3,Default,No Previous Default
27,21,11000,Mortgage,3.0,Venture,E,4575,17.74,1,0.42,Y,3,Default,Previous Default
28,23,11000,Own,0.0,Personal,A,1400,9.32,0,0.13,N,3,Non-Default,No Previous Default
29,24,65000,Rent,6.0,Homeimprovement,B,32500,9.99,1,0.5,N,3,Default,No Previous Default
30,21,11389,Other,5.0,Education,C,4000,12.84,1,0.35,Y,2,Default,Previous Default
31,21,11520,Own,5.0,Medical,B,2000,11.12,1,0.17,N,3,Default,No Previous Default
32,25,120000,Rent,2.0,Venture,A,32000,6.62,0,0.27,N,2,Non-Default,No Previous Default
33,26,95000,Rent,7.0,Homeimprovement,C,31050,14.17,1,0.33,Y,3,Default,Previous Default
34,25,306000,Rent,2.0,Debtconsolidation,C,24250,13.85,0,0.08,N,3,Non-Default,No Previous Default
35,26,300000,Mortgage,10.0,Medical,C,7800,13.49,0,0.03,N,4,Non-Default,No Previous Default
36,21,12000,Own,5.0,Education,A,2500,7.51,1,0.21,N,4,Default,No Previous Default
