loan_id,age,annual_income,home_ownership,employment_length,loan_purpose,loan_grade,loan_amount,interest_rate,default_flag,loan_to_income_ratio,previous_default_flag,credit_history_length,default_status,previous_default_status,age_group,income_segment,loan_amount_segment,interest_rate_segment,loan_to_income_segment,credit_history_segment,employment_length_segment,grade_risk_score,interest_risk_score,dti_risk_score,previous_default_risk_score,income_risk_score,risk_score,risk_level
1,22,59000,Rent,50.0,Personal,D,35000,16.02,1,0.59,Y,3,Default,Previous Default,18-25,Lower-Mid Income,Very Large Loan,High Rate,Very High DTI,Very Short History,10+ Years,35,15,25,15,0,90,Very High Risk
2,21,9600,Own,5.0,Education,B,1000,11.14,0,0.1,N,2,Non-Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Very Low DTI,Very Short History,4-5 Years,10,5,5,0,10,30,Medium Risk
3,25,9600,Mortgage,1.0,Medical,C,5500,12.87,1,0.57,N,3,Default,No Previous Default,18-25,Low Income,Small Loan,Medium Rate,Very High DTI,Very Short History,0-1 Years,20,10,25,0,10,65,High Risk
4,23,65500,Rent,4.0,Medical,C,35000,15.23,1,0.53,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Medium Rate,Very High DTI,Very Short History,4-5 Years,20,10,25,0,0,55,High Risk
5,24,54400,Rent,8.0,Medical,C,35000,14.27,1,0.55,Y,4,Default,Previous Default,18-25,Lower-Mid Income,Very Large Loan,Medium Rate,Very High DTI,Short History,6-10 Years,20,10,25,15,0,70,High Risk
6,21,9900,Own,2.0,Venture,A,2500,7.14,1,0.25,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Very Low Rate,Medium DTI,Very Short History,2-3 Years,5,5,10,0,10,30,Medium Risk
7,26,77100,Rent,8.0,Education,B,35000,12.42,1,0.45,N,3,Default,No Previous Default,26-35,Mid Income,Very Large Loan,Medium Rate,High DTI,Very Short History,6-10 Years,10,10,20,0,0,40,Medium Risk
8,24,78956,Rent,5.0,Medical,B,35000,11.11,1,0.44,N,4,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Short History,4-5 Years,10,5,20,0,0,35,Medium Risk
9,24,83000,Rent,8.0,Personal,A,35000,8.9,1,0.42,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Very Short History,6-10 Years,5,5,20,0,0,30,Medium Risk
10,21,10000,Own,6.0,Venture,D,1600,14.74,1,0.16,N,3,Default,No Previous Default,18-25,Low Income,Very Small Loan,Medium Rate,Low DTI,Very Short History,6-10 Years,35,10,5,0,10,60,High Risk
11,22,85000,Rent,6.0,Venture,B,35000,10.37,1,0.41,N,4,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Low Rate,High DTI,Short History,6-10 Years,10,5,20,0,0,35,Medium Risk
12,21,10000,Own,2.0,Homeimprovement,A,4500,8.63,1,0.45,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,High DTI,Very Short History,2-3 Years,5,5,20,0,10,40,Medium Risk
13,23,95000,Rent,2.0,Venture,A,35000,7.9,1,0.37,N,2,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Very Low Rate,High DTI,Very Short History,2-3 Years,5,5,20,0,0,30,Medium Risk
14,26,108160,Rent,4.0,Education,E,35000,18.39,1,0.32,N,4,Default,No Previous Default,26-35,Upper-Mid Income,Very Large Loan,High Rate,High DTI,Short History,4-5 Years,50,15,20,0,0,85,Very High Risk
15,23,115000,Rent,2.0,Education,A,35000,7.9,0,0.3,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,2-3 Years,5,5,20,0,0,30,Medium Risk
16,23,500000,Mortgage,7.0,Debtconsolidation,B,30000,10.65,0,0.06,N,3,Non-Default,No Previous Default,18-25,High Income,Very Large Loan,Low Rate,Very Low DTI,Very Short History,6-10 Years,10,5,5,0,0,20,Low Risk
17,23,120000,Rent,0.0,Education,A,35000,7.9,0,0.29,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,0-1 Years,5,5,10,0,0,20,Low Risk
18,23,92111,Rent,7.0,Medical,F,35000,20.25,1,0.32,N,4,Default,No Previous Default,18-25,Mid Income,Very Large Loan,Very High Rate,High DTI,Short History,6-10 Years,65,20,20,0,0,100,Very High Risk
19,23,113000,Rent,8.0,Debtconsolidation,D,35000,18.25,1,0.31,N,4,Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,High Rate,High DTI,Short History,6-10 Years,35,15,20,0,0,70,High Risk
20,24,10800,Mortgage,8.0,Education,B,1750,10.99,1,0.16,N,2,Default,No Previous Default,18-25,Low Income,Very Small Loan,Low Rate,Low DTI,Very Short History,6-10 Years,10,5,5,0,10,30,Medium Risk
21,25,162500,Rent,2.0,Venture,A,35000,7.49,0,0.22,N,4,Non-Default,No Previous Default,18-25,Upper-Mid Income,Very Large Loan,Very Low Rate,Medium DTI,Short History,2-3 Years,5,5,10,0,0,20,Low Risk
